;0.00;0.05;0.10;0.15;0.20;0.25;0.30;0.35;0.40;0.45;0.50;0.55;0.60
0.00;"0;0";"0;0";"0;0";"0;0";"85;85";"141;141";"200;200";"270;270";"335;335";"440;440";"642;642";"920;920";"1115;1115"
0.05;"0;0";"0;0";"70;0";"100;0";"135;0";"196;88";"250;144";"320;210";"380;280";"480;380";"695;590";"1000;870";"1115;1115"
0.10;"0;0";"0;0";"0;0";"0;0";"185;0";"245;0";"300;90";"360;165";"440;225";"545;330";"745;550";"1040;830";"1115;1005"
0.15;"0;0";"0;0";"0;0";"0;0";"0;0";"300;0";"350;0";"422;111";"490;175";"590;287";"800;490";"1100;775";"1115;903"
0.20;"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"405;0";"475;0";"535;120";"640;225";"845;440";"1115;730";"1115;800"
0.25;"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"520;0";"590;75";"695;175";"905;380";"1115;670";"1115;705"
0.30;"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"640;0";"740;125";"950;340";"1115;590";"1115;590"
0.35;"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"695;0";"800;70";"1005;280";"1115;505";"1115;505"
0.40;"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"845;0";"1070;230";"1115;380";"1115;380"
0.45;"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"900;0";"1115;180";"1115;280";"1115;280"
0.50;"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"1115;126";"1115;180";"1115;180"
0.55;"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"1115;70";"1115;75";"1115;75"
0.60;"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"0;0";"1115;0";"1115;0";"1115;0"
